t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd
401191,STEPTEST,IDLE,0,0.0,28.4,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
402191,STEPTEST,IDLE,1,0.0,26.9,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
403191,STEPTEST,IDLE,2,0.0,25.4,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
404192,STEPTEST,IDLE,3,0.0,24.9,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
405191,STEPTEST,IDLE,4,0.0,24.9,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
406191,STEPTEST,IDLE,5,0.0,24.8,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
407191,STEPTEST,IDLE,6,0.0,24.7,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
408191,STEPTEST,IDLE,7,0.0,25.3,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
409191,STEPTEST,IDLE,8,0.0,25.7,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
410191,STEPTEST,IDLE,9,0.0,26.4,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
411191,STEPTEST,IDLE,10,0.0,27.7,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
412191,STEPTEST,IDLE,11,0.0,29.3,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
413191,STEPTEST,IDLE,12,0.0,30.9,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
414191,STEPTEST,IDLE,13,0.0,32.5,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
415191,STEPTEST,IDLE,14,0.0,34.4,1,-28.47,0.00,0.00,0.00,0.00,1,80,64,100,100,1.5000,0.0340,5.3000
