t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct
102176,STEPTEST,IDLE,0,0.0,15.7,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
103177,STEPTEST,IDLE,1,0.0,14.5,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
104183,STEPTEST,IDLE,2,0.0,14.4,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
105249,STEPTEST,IDLE,3,0.0,14.0,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
106177,STEPTEST,IDLE,4,0.0,14.5,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
107175,STEPTEST,IDLE,5,0.0,14.4,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
108175,STEPTEST,IDLE,6,0.0,15.1,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
109175,STEPTEST,IDLE,7,0.0,15.1,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
110175,STEPTEST,IDLE,8,0.0,16.1,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
111175,STEPTEST,IDLE,9,0.0,16.3,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
112176,STEPTEST,IDLE,10,0.0,17.5,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
113176,STEPTEST,IDLE,11,0.0,17.9,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
114176,STEPTEST,IDLE,12,0.0,19.8,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
115176,STEPTEST,IDLE,13,0.0,20.6,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
116176,STEPTEST,IDLE,14,0.0,22.7,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
117176,STEPTEST,IDLE,15,0.0,23.8,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
118174,STEPTEST,IDLE,16,0.0,26.0,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
119174,STEPTEST,IDLE,17,0.0,27.2,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
120174,STEPTEST,IDLE,18,0.0,29.7,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
121175,STEPTEST,IDLE,19,0.0,30.9,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
122174,STEPTEST,IDLE,20,0.0,33.2,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
123175,STEPTEST,IDLE,21,0.0,34.4,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
124175,STEPTEST,IDLE,22,0.0,36.8,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
125175,STEPTEST,IDLE,23,0.0,38.2,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
126175,STEPTEST,IDLE,24,0.0,40.5,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
127176,STEPTEST,IDLE,25,0.0,42.0,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
128176,STEPTEST,IDLE,26,0.0,44.2,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
129176,STEPTEST,IDLE,27,0.0,45.6,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
130176,STEPTEST,IDLE,28,0.0,47.8,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
131176,STEPTEST,IDLE,29,0.0,49.1,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
132176,STEPTEST,IDLE,30,0.0,51.3,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
133267,STEPTEST,IDLE,31,0.0,52.4,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
134174,STEPTEST,IDLE,32,0.0,54.7,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
135174,STEPTEST,IDLE,33,0.0,55.8,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
136174,STEPTEST,IDLE,34,0.0,57.6,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
137175,STEPTEST,IDLE,35,0.0,58.6,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
138175,STEPTEST,IDLE,36,0.0,60.6,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
139175,STEPTEST,IDLE,37,0.0,61.6,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
140175,STEPTEST,IDLE,38,0.0,63.5,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
141175,STEPTEST,IDLE,39,0.0,64.3,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
142176,STEPTEST,IDLE,40,0.0,65.9,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
143176,STEPTEST,IDLE,41,0.0,66.7,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
144176,STEPTEST,IDLE,42,0.0,68.3,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
145176,STEPTEST,IDLE,43,0.0,68.9,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
146176,STEPTEST,IDLE,44,0.0,70.7,1,-17.03,0.00,0.00,0.00,0.00,1,50,40,90,90
