t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd,protector_open,protector_trips,protector_ceiling_c
123195,MANUAL,IDLE,0,170.0,130.1,1,39.91,34.23,100.00,-53.65,80.58,0,81,81,100,100,0.8576,0.0307,14.9737,0,0,0.0
124195,MANUAL,IDLE,0,170.0,133.1,1,36.89,31.63,100.00,-50.86,80.77,0,81,81,100,100,0.8576,0.0307,14.9737,0,0,0.0
125195,MANUAL,IDLE,0,170.0,136.1,1,33.91,29.08,100.00,-48.79,80.28,0,80,80,100,100,0.8576,0.0307,14.9737,0,0,0.0
126195,MANUAL,IDLE,0,170.0,138.3,1,31.71,27.20,100.00,-43.47,83.72,0,84,84,100,100,0.8576,0.0307,14.9737,0,0,0.0
127195,MANUAL,IDLE,0,170.0,141.3,1,28.73,24.64,100.00,-43.88,80.76,0,81,81,100,100,0.8576,0.0307,14.9737,0,0,0.0
128195,MANUAL,IDLE,0,170.0,144.0,1,26.02,22.31,100.00,-42.77,79.54,0,80,80,100,100,0.8576,0.0307,14.9737,0,0,0.0
129195,MANUAL,IDLE,0,170.0,146.4,1,23.57,20.22,100.00,-40.72,79.49,0,79,79,100,100,0.8576,0.0307,14.9737,0,0,0.0
130195,MANUAL,IDLE,0,170.0,148.8,1,21.21,18.19,100.00,-38.93,79.26,0,79,79,100,100,0.8576,0.0307,14.9737,0,0,0.0
131195,MANUAL,IDLE,0,170.0,150.8,1,19.18,16.45,100.00,-36.09,80.36,0,80,80,100,100,0.8576,0.0307,14.9737,0,0,0.0
132195,MANUAL,IDLE,0,170.0,152.8,1,17.21,14.76,100.00,-33.89,80.87,0,81,81,100,100,0.8576,0.0307,14.9737,0,0,0.0
133195,MANUAL,IDLE,0,170.0,154.7,1,15.29,13.11,100.00,-32.18,80.93,0,81,81,100,100,0.8576,0.0307,14.9737,0,0,0.0
134195,MANUAL,IDLE,0,170.0,156.5,1,13.51,11.58,100.00,-30.36,81.23,0,81,81,100,100,0.8576,0.0307,14.9737,0,0,0.0
135195,MANUAL,IDLE,0,170.0,158.2,1,11.85,10.16,100.00,-28.52,81.64,0,82,82,100,100,0.8576,0.0307,14.9737,0,0,0.0
136195,MANUAL,IDLE,0,170.0,159.7,1,10.32,8.85,100.00,-26.64,82.21,0,82,82,100,100,0.8576,0.0307,14.9737,0,0,0.0
137195,MANUAL,IDLE,0,170.0,161.0,1,9.02,7.74,100.00,-24.23,83.51,0,84,84,100,100,0.8576,0.0307,14.9737,0,0,0.0
138195,MANUAL,IDLE,0,170.0,162.5,1,7.51,6.44,100.00,-23.69,82.75,0,83,83,100,100,0.8576,0.0307,14.9737,0,0,0.0
139195,MANUAL,IDLE,0,170.0,163.6,1,6.37,5.46,100.00,-21.52,83.94,0,84,84,100,100,0.8576,0.0307,14.9737,0,0,0.0
140195,MANUAL,IDLE,0,170.0,164.7,1,5.32,4.56,100.00,-19.59,84.97,0,85,85,100,100,0.8576,0.0307,14.9737,0,0,0.0
141196,MANUAL,IDLE,0,170.0,165.9,1,4.07,3.49,100.00,-19.29,84.20,0,84,84,100,100,0.8576,0.0307,14.9737,0,0,0.0
142195,MANUAL,IDLE,0,170.0,167.1,1,2.93,2.51,100.00,-18.54,83.97,0,84,84,100,100,0.8576,0.0307,14.9737,0,0,0.0
143195,MANUAL,IDLE,0,170.0,168.2,1,1.80,1.55,100.00,-17.98,83.57,0,84,84,100,100,0.8576,0.0307,14.9737,0,0,0.0
144195,MANUAL,IDLE,0,170.0,169.0,1,0.97,0.83,100.00,-16.16,84.67,0,85,85,100,100,0.8576,0.0307,14.9737,0,0,0.0
145195,MANUAL,IDLE,0,170.0,169.8,1,0.18,0.16,100.00,-14.68,85.48,0,85,85,100,100,0.8576,0.0307,14.9737,0,0,0.0
146195,MANUAL,IDLE,0,170.0,170.9,1,-0.94,-0.81,99.97,-15.42,83.75,0,84,84,100,100,0.8576,0.0307,14.9737,0,0,0.0
