t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd
333195,AUTOTUNE,IDLE,0,150.0,120.4,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
334195,AUTOTUNE,IDLE,1,150.0,117.8,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
335195,AUTOTUNE,IDLE,2,150.0,115.1,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
336195,AUTOTUNE,IDLE,3,150.0,112.5,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
337195,AUTOTUNE,IDLE,4,150.0,109.9,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
338195,AUTOTUNE,IDLE,5,150.0,107.5,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
339195,AUTOTUNE,IDLE,6,150.0,105.4,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
340195,AUTOTUNE,IDLE,7,150.0,103.7,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
341195,AUTOTUNE,IDLE,8,150.0,102.1,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
342195,AUTOTUNE,IDLE,9,150.0,100.9,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
343195,AUTOTUNE,IDLE,10,150.0,100.3,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
344195,AUTOTUNE,IDLE,11,150.0,99.9,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
345195,AUTOTUNE,IDLE,12,150.0,100.0,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
346195,AUTOTUNE,IDLE,13,150.0,100.4,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
347195,AUTOTUNE,IDLE,14,150.0,101.0,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
348195,AUTOTUNE,IDLE,15,150.0,102.1,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
349195,AUTOTUNE,IDLE,16,150.0,103.2,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
350195,AUTOTUNE,IDLE,17,150.0,104.6,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
351195,AUTOTUNE,IDLE,18,150.0,106.3,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
352195,AUTOTUNE,IDLE,19,150.0,107.9,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
353195,AUTOTUNE,IDLE,20,150.0,109.9,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
354195,AUTOTUNE,IDLE,21,150.0,112.0,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
355195,AUTOTUNE,IDLE,22,150.0,114.1,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
356195,AUTOTUNE,IDLE,23,150.0,116.2,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
357195,AUTOTUNE,IDLE,24,150.0,118.4,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
358195,AUTOTUNE,IDLE,25,150.0,120.5,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
359195,AUTOTUNE,IDLE,26,150.0,122.6,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
360195,AUTOTUNE,IDLE,27,150.0,124.9,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
361195,AUTOTUNE,IDLE,28,150.0,127.1,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
362195,AUTOTUNE,IDLE,29,150.0,129.2,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
363195,AUTOTUNE,IDLE,30,150.0,131.4,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
364195,AUTOTUNE,IDLE,31,150.0,133.4,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
365195,AUTOTUNE,IDLE,32,150.0,135.5,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
366195,AUTOTUNE,IDLE,33,150.0,137.4,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
367195,AUTOTUNE,IDLE,34,150.0,139.4,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
368195,AUTOTUNE,IDLE,35,150.0,141.2,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
369195,AUTOTUNE,IDLE,36,150.0,143.1,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
370195,AUTOTUNE,IDLE,37,150.0,144.9,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
371195,AUTOTUNE,IDLE,38,150.0,146.6,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
372195,AUTOTUNE,IDLE,39,150.0,148.2,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
373196,AUTOTUNE,IDLE,40,150.0,149.8,1,-122.94,0.00,0.00,0.00,0.00,1,80,80,100,100,0.8576,0.0307,14.9737
374195,AUTOTUNE,IDLE,41,150.0,151.3,1,-122.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
375195,AUTOTUNE,IDLE,42,150.0,152.8,1,-122.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
376195,AUTOTUNE,IDLE,43,150.0,154.4,1,-122.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
377195,AUTOTUNE,IDLE,44,150.0,155.8,1,-122.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
378195,AUTOTUNE,IDLE,45,150.0,157.0,1,-122.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
379195,AUTOTUNE,IDLE,46,150.0,158.1,1,-122.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
380195,AUTOTUNE,IDLE,47,150.0,159.1,1,-122.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
381195,AUTOTUNE,IDLE,48,150.0,159.8,1,-122.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
382195,AUTOTUNE,IDLE,49,150.0,160.2,1,-122.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
383195,AUTOTUNE,IDLE,50,150.0,160.2,1,-122.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
