t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd,protector_open,protector_trips,protector_ceiling_c
62186,MANUAL,IDLE,0,170.0,139.0,1,31.05,26.63,100.00,-48.19,78.43,0,78,78,100,100,0.8576,0.0307,14.9737
63186,MANUAL,IDLE,0,170.0,141.7,1,28.31,24.28,100.00,-45.81,78.47,0,78,78,100,100,0.8576,0.0307,14.9737
64186,MANUAL,IDLE,0,170.0,144.2,1,25.80,22.12,100.00,-43.07,79.06,0,79,79,100,100,0.8576,0.0307,14.9737
65186,MANUAL,IDLE,0,170.0,146.4,1,23.56,20.20,100.00,-39.89,80.31,0,80,80,100,100,0.8576,0.0307,14.9737
66186,MANUAL,IDLE,0,170.0,148.7,1,21.27,18.24,100.00,-38.03,80.21,0,80,80,100,100,0.8576,0.0307,14.9737
67186,MANUAL,IDLE,0,170.0,150.8,1,19.15,16.42,100.00,-35.92,80.50,0,81,81,100,100,0.8576,0.0307,14.9737
68186,MANUAL,IDLE,0,170.0,152.9,1,17.10,14.66,100.00,-34.18,80.48,0,80,80,100,100,0.8576,0.0307,14.9737
69186,MANUAL,IDLE,0,170.0,154.8,1,15.21,13.05,100.00,-32.21,80.84,0,81,81,100,100,0.8576,0.0307,14.9737
70186,MANUAL,IDLE,0,170.0,156.5,1,13.51,11.59,100.00,-29.97,81.62,0,82,82,100,100,0.8576,0.0307,14.9737
71186,MANUAL,IDLE,0,170.0,157.9,1,12.07,10.35,100.00,-27.18,83.17,0,83,83,100,100,0.8576,0.0307,14.9737
72186,MANUAL,IDLE,0,170.0,159.4,1,10.60,9.09,100.00,-25.44,83.65,0,84,84,100,100,0.8576,0.0307,14.9737
73186,MANUAL,IDLE,0,170.0,160.8,1,9.23,7.91,100.00,-23.81,84.10,0,84,84,100,100,0.8576,0.0307,14.9737
74186,MANUAL,IDLE,0,170.0,162.0,1,7.97,6.84,100.00,-22.14,84.69,0,85,85,100,100,0.8576,0.0307,14.9737
75186,MANUAL,IDLE,0,170.0,163.3,1,6.70,5.75,100.00,-21.10,84.65,0,85,85,100,100,0.8576,0.0307,14.9737
76186,MANUAL,IDLE,0,170.0,164.6,1,5.44,4.67,100.00,-20.36,84.31,0,84,84,100,100,0.8576,0.0307,14.9737
77186,MANUAL,IDLE,0,170.0,165.5,1,4.47,3.83,100.00,-18.44,85.39,0,85,85,100,100,0.8576,0.0307,14.9737
78186,MANUAL,IDLE,0,170.0,166.4,1,3.58,3.07,100.00,-16.74,86.32,0,86,86,100,100,0.8576,0.0307,14.9737
79186,MANUAL,IDLE,0,170.0,167.3,1,2.67,2.29,100.00,-15.70,86.59,0,87,87,100,100,0.8576,0.0307,14.9737
80186,MANUAL,IDLE,0,170.0,168.1,1,1.88,1.61,100.00,-14.42,87.19,0,87,87,100,100,0.8576,0.0307,14.9737
81186,MANUAL,IDLE,0,170.0,169.0,1,0.99,0.85,100.00,-14.02,86.83,0,87,87,100,100,0.8576,0.0307,14.9737
82186,MANUAL,IDLE,0,170.0,169.8,1,0.17,0.14,100.00,-13.46,86.68,0,87,87,100,100,0.8576,0.0307,14.9737
83186,MANUAL,IDLE,0,170.0,170.7,1,-0.75,-0.64,99.98,-13.55,85.78,0,86,86,100,100,0.8576,0.0307,14.9737
84186,MANUAL,IDLE,0,170.0,171.5,1,-1.47,-1.26,99.93,-12.62,86.05,0,86,86,100,100,0.8576,0.0307,14.9737
85186,MANUAL,IDLE,0,170.0,172.2,1,-2.20,-1.89,99.86,-12.07,85.90,0,86,86,100,100,0.8576,0.0307,14.9737
86186,MANUAL,IDLE,0,170.0,173.0,1,-2.96,-2.54,99.77,-11.82,85.42,0,85,85,100,100,0.8576,0.0307,14.9737
87186,MANUAL,IDLE,0,170.0,173.7,1,-3.69,-3.17,99.66,-11.56,84.93,0,85,85,100,100,0.8576,0.0307,14.9737
88186,MANUAL,IDLE,0,170.0,174.4,1,-4.39,-3.77,99.53,-11.18,84.58,0,85,85,100,100,0.8576,0.0307,14.9737
89186,MANUAL,IDLE,0,170.0,175.1,1,-5.09,-4.37,99.37,-10.97,84.03,0,84,84,100,100,0.8576,0.0307,14.9737
90186,MANUAL,IDLE,0,170.0,175.7,1,-5.74,-4.92,99.19,-10.54,83.73,0,84,84,100,100,0.8576,0.0307,14.9737
91186,MANUAL,IDLE,0,170.0,176.6,1,-6.57,-5.64,98.99,-11.18,82.18,0,82,82,100,100,0.8576,0.0307,14.9737
92186,MANUAL,IDLE,0,170.0,177.2,1,-7.15,-6.13,98.77,-10.33,82.31,0,82,82,100,100,0.8576,0.0307,14.9737
93186,MANUAL,IDLE,0,170.0,177.6,1,-7.65,-6.56,98.54,-9.37,82.61,0,83,83,100,100,0.8576,0.0307,14.9737
94186,MANUAL,IDLE,0,170.0,178.2,1,-8.18,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
95186,MANUAL,IDLE,0,170.0,178.8,1,-8.82,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
96186,MANUAL,IDLE,0,170.0,179.3,1,-9.34,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
97186,MANUAL,IDLE,0,170.0,179.8,1,-9.83,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
98186,MANUAL,IDLE,0,170.0,180.4,1,-10.40,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
99186,MANUAL,IDLE,0,170.0,180.7,1,-10.68,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
100187,MANUAL,IDLE,0,170.0,170.0,0,0.00,0.00,0.00,48.67,48.67,0,49,0,100,100,0.8576,0.0307,14.9737
101186,MANUAL,IDLE,0,170.0,180.6,1,-10.56,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
102186,MANUAL,IDLE,0,170.0,180.1,1,-10.07,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
103186,MANUAL,IDLE,0,170.0,179.4,1,-9.43,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
104186,MANUAL,IDLE,0,170.0,178.3,1,-8.33,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737
105186,MANUAL,IDLE,0,170.0,177.0,1,-6.95,-5.96,0.00,8.68,2.71,0,3,3,100,100,0.8576,0.0307,14.9737
106186,MANUAL,IDLE,0,170.0,175.2,1,-5.19,-4.45,0.00,14.57,10.12,0,10,10,100,100,0.8576,0.0307,14.9737
107186,MANUAL,IDLE,0,170.0,173.2,1,-3.25,-2.79,0.00,19.42,16.63,0,17,17,100,100,0.8576,0.0307,14.9737
108186,MANUAL,IDLE,0,170.0,171.0,1,-1.03,-0.88,0.00,24.02,23.13,0,23,23,100,100,0.8576,0.0307,14.9737
109186,MANUAL,IDLE,0,170.0,168.7,1,1.33,1.14,0.04,27.78,28.95,0,29,29,100,100,0.8576,0.0307,14.9737
110186,MANUAL,IDLE,0,170.0,166.1,1,3.86,3.31,0.16,31.14,34.61,0,35,35,100,100,0.8576,0.0307,14.9737
111186,MANUAL,IDLE,0,170.0,163.3,1,6.68,5.73,0.36,34.88,40.98,0,41,41,100,100,0.8576,0.0307,14.9737
112186,MANUAL,IDLE,0,170.0,160.3,1,9.67,8.29,0.66,38.14,47.09,0,47,47,100,100,0.8576,0.0307,14.9737
113186,MANUAL,IDLE,0,170.0,157.3,1,12.73,10.92,1.05,40.74,52.71,0,53,53,100,100,0.8576,0.0307,14.9737
114186,MANUAL,IDLE,0,170.0,154.3,1,15.74,13.50,1.54,42.17,57.20,0,57,57,100,100,0.8576,0.0307,14.9737
115186,MANUAL,IDLE,0,170.0,151.3,1,18.74,16.07,2.11,43.10,61.29,0,61,61,100,100,0.8576,0.0307,14.9737
116186,MANUAL,IDLE,0,170.0,148.3,1,21.73,18.64,2.78,43.64,65.06,0,65,65,100,100,0.8576,0.0307,14.9737
117186,MANUAL,IDLE,0,170.0,145.4,1,24.57,21.07,3.53,43.25,67.85,0,68,68,100,100,0.8576,0.0307,14.9737
118186,MANUAL,IDLE,0,170.0,142.9,1,27.15,23.28,4.36,41.71,69.36,0,69,69,100,100,0.8576,0.0307,14.9737
119186,MANUAL,IDLE,0,170.0,140.5,1,29.52,25.32,5.27,39.65,70.24,0,70,70,100,100,0.8576,0.0307,14.9737
120186,MANUAL,IDLE,0,170.0,138.3,1,31.68,27.17,6.24,37.23,70.64,0,71,71,100,100,0.8576,0.0307,14.9737
121186,MANUAL,IDLE,0,170.0,136.4,1,33.60,28.82,7.27,34.40,70.49,0,70,70,100,100,0.8576,0.0307,14.9737
122186,MANUAL,IDLE,0,170.0,134.6,1,35.35,30.32,8.36,31.68,70.36,0,70,70,100,100,0.8576,0.0307,14.9737
123186,MANUAL,IDLE,0,170.0,133.1,1,36.90,31.65,9.49,28.84,69.98,0,70,70,100,100,0.8576,0.0307,14.9737
124186,MANUAL,IDLE,0,170.0,131.9,1,38.10,32.67,10.66,25.21,68.55,0,69,69,100,100,0.8576,0.0307,14.9737
125186,MANUAL,IDLE,0,170.0,130.9,1,39.10,33.53,11.86,21.81,67.21,0,67,67,100,100,0.8576,0.0307,14.9737
126186,MANUAL,IDLE,0,170.0,130.2,1,39.84,34.16,13.09,18.21,65.46,0,65,65,100,100,0.8576,0.0307,14.9737
127186,MANUAL,IDLE,0,170.0,129.6,1,40.38,34.63,14.33,14.83,63.78,0,64,64,100,100,0.8576,0.0307,14.9737
128186,MANUAL,IDLE,0,170.0,129.5,1,40.54,34.77,15.57,10.70,61.03,0,61,61,100,100,0.8576,0.0307,14.9737
129186,MANUAL,IDLE,0,170.0,129.3,1,40.69,34.90,16.82,7.90,59.62,0,60,60,100,100,0.8576,0.0307,14.9737
130186,MANUAL,IDLE,0,170.0,129.5,1,40.48,34.72,18.06,4.22,57.00,0,57,57,100,100,0.8576,0.0307,14.9737
131186,MANUAL,IDLE,0,170.0,129.8,1,40.21,34.48,19.30,1.44,55.22,0,55,55,100,100,0.8576,0.0307,14.9737
132186,MANUAL,IDLE,0,170.0,130.1,1,39.93,34.24,20.52,-0.43,54.33,0,54,54,100,100,0.8576,0.0307,14.9737
133186,MANUAL,IDLE,0,170.0,130.7,1,39.29,33.69,21.73,-3.49,51.93,0,52,52,100,100,0.8576,0.0307,14.9737
134186,MANUAL,IDLE,0,170.0,131.2,1,38.77,33.25,22.92,-4.91,51.26,0,51,51,100,100,0.8576,0.0307,14.9737
135186,MANUAL,IDLE,0,170.0,131.8,1,38.15,32.72,24.09,-6.36,50.44,0,50,50,100,100,0.8576,0.0307,14.9737
