t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd,protector_open,protector_trips,protector_ceiling_c
196200,MANUAL,IDLE,0,170.0,32.9,1,137.09,117.57,4.21,0.00,121.78,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
197200,MANUAL,IDLE,0,170.0,33.0,1,137.05,117.53,8.42,-0.00,125.95,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
198200,MANUAL,IDLE,0,170.0,32.9,1,137.12,117.60,12.63,0.00,130.22,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
199200,MANUAL,IDLE,0,170.0,32.9,1,137.10,117.58,16.83,-0.00,134.41,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
200200,MANUAL,IDLE,0,170.0,32.9,1,137.07,117.55,21.04,-0.00,138.60,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
201200,MANUAL,IDLE,0,170.0,33.3,1,136.74,117.27,25.24,-0.00,142.51,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
202200,MANUAL,IDLE,0,170.0,33.6,1,136.39,116.97,29.43,-0.00,146.39,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
203200,MANUAL,IDLE,0,170.0,34.1,1,135.92,116.57,33.60,-0.00,150.17,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
204200,MANUAL,IDLE,0,170.0,35.2,1,134.85,115.64,37.74,-0.00,153.38,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
205200,MANUAL,IDLE,0,170.0,36.2,1,133.80,114.75,41.85,-0.00,156.60,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
206200,MANUAL,IDLE,0,170.0,37.6,1,132.44,113.58,45.91,-0.00,159.49,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
207200,MANUAL,IDLE,0,170.0,39.2,1,130.79,112.17,49.93,-0.00,162.10,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
208200,MANUAL,IDLE,0,170.0,40.8,1,129.16,110.77,53.89,-0.00,164.67,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
209200,MANUAL,IDLE,0,170.0,42.7,1,127.30,109.17,57.80,-0.00,166.97,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
210200,MANUAL,IDLE,0,170.0,44.7,1,125.28,107.44,61.65,-0.00,169.09,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
211200,MANUAL,IDLE,0,170.0,46.8,1,123.22,105.67,65.43,-0.00,171.10,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
212200,MANUAL,IDLE,0,170.0,49.0,1,121.01,103.78,69.15,-0.00,172.93,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
213200,MANUAL,IDLE,0,170.0,51.4,1,118.62,101.73,72.79,-0.00,174.51,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
214200,MANUAL,IDLE,0,170.0,53.6,1,116.41,99.83,76.36,-0.00,176.19,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
215200,MANUAL,IDLE,0,170.0,56.1,1,113.95,97.72,79.86,-0.00,177.58,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
216200,MANUAL,IDLE,0,170.0,58.4,1,111.58,95.69,83.29,-0.00,178.98,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
217200,MANUAL,IDLE,0,170.0,60.9,1,109.06,93.53,86.63,-0.00,180.16,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
218200,MANUAL,IDLE,0,170.0,63.5,1,106.53,91.36,89.90,-0.00,181.27,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
219200,MANUAL,IDLE,0,170.0,66.0,1,104.02,89.21,93.10,-0.00,182.30,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
220200,MANUAL,IDLE,0,170.0,68.5,1,101.51,87.06,96.21,-0.00,183.27,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
221200,MANUAL,IDLE,0,170.0,71.0,1,98.99,84.89,99.25,-0.00,184.15,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
222200,MANUAL,IDLE,0,170.0,73.6,1,96.39,82.66,100.00,-0.00,182.66,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
223200,MANUAL,IDLE,0,170.0,76.2,1,93.78,80.43,100.00,-0.00,180.43,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
224200,MANUAL,IDLE,0,170.0,78.7,1,91.28,78.28,100.00,-0.00,178.28,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
225200,MANUAL,IDLE,0,170.0,81.1,1,88.86,76.21,100.00,-0.00,176.21,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
226200,MANUAL,IDLE,0,170.0,83.9,1,86.14,73.87,100.00,-0.00,173.87,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
227200,MANUAL,IDLE,0,170.0,86.4,1,83.63,71.72,100.00,-0.00,171.72,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
228200,MANUAL,IDLE,0,170.0,88.7,1,81.29,69.71,100.00,-0.00,169.71,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
229200,MANUAL,IDLE,0,170.0,91.1,1,78.88,67.65,100.00,-0.00,167.65,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
230200,MANUAL,IDLE,0,170.0,93.5,1,76.53,65.63,100.00,-0.00,165.63,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
231200,MANUAL,IDLE,0,170.0,95.8,1,74.23,63.66,100.00,-0.00,163.66,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
232200,MANUAL,IDLE,0,170.0,97.9,1,72.13,61.86,100.00,-0.00,161.86,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
233200,MANUAL,IDLE,0,170.0,100.2,1,69.76,59.83,100.00,-0.00,159.83,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
234200,MANUAL,IDLE,0,170.0,102.6,1,67.37,57.77,100.00,-0.00,157.77,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
235200,MANUAL,IDLE,0,170.0,105.0,1,64.99,55.73,100.00,-0.00,155.73,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
236200,MANUAL,IDLE,0,170.0,107.3,1,62.71,53.78,100.00,-0.00,153.78,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
237200,MANUAL,IDLE,0,170.0,109.5,1,60.46,51.85,100.00,-0.00,151.85,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
238200,MANUAL,IDLE,0,170.0,111.7,1,58.26,49.96,100.00,-0.00,149.96,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
239200,MANUAL,IDLE,0,170.0,113.9,1,56.10,48.11,100.00,-0.00,148.11,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
240200,MANUAL,IDLE,0,170.0,116.1,1,53.90,46.22,100.00,-0.00,146.22,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
241200,MANUAL,IDLE,0,170.0,118.2,1,51.77,44.40,100.00,-0.00,144.40,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
242200,MANUAL,IDLE,0,170.0,120.3,1,49.65,42.58,100.00,-0.00,142.58,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
243200,MANUAL,IDLE,0,170.0,122.3,1,47.70,40.90,100.00,-0.00,140.90,0,100,100,100,100,0.8576,0.0307,0.0000,0,0,0.0
